Месяц,Сумма на вкладе,Начисление
1,1008333.33,8333.33
2,1016736.11,8402.78
3,1025208.91,8472.80
4,1033752.32,8543.41
5,1042366.92,8614.60
6,1051053.31,8686.39
7,1059812.09,8758.78
8,1068643.86,8831.77
9,1077549.22,8905.37
10,1086528.80,8979.58
11,1095583.21,9054.41
12,1104713.07,9129.86
13,1113919.01,9205.94
14,1123201.67,9282.66
15,1132561.68,9360.01
16,1141999.70,9438.01
17,1151516.36,9516.66
18,1161112.33,9595.97
19,1170788.27,9675.94
20,1180544.83,9756.57
21,1190382.71,9837.87
22,1200302.56,9919.86
23,1210305.09,10002.52
24,1220390.96,10085.88
